Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
1998 ,Al ,254712143 ,962405073
1998 ,AP ,58168096 ,850014183
1998 ,AM ,263686423 ,128423340
1998 ,BA ,1819776926 ,5337286171
1998 ,CE ,434052782 ,338456513
1998 ,DF ,13865774 ,43654515
1998 ,ES ,3486509530 ,39207453258
1998 ,GO ,210558369 ,477125139
1998 ,MA ,618750784 ,2341834491
1998 ,MT ,319316952 ,1139848666
1998 ,MS ,246221548 ,2390539254
1998 ,MG ,6831257402 ,67765451925
1998 ,Não Declarada ,26086 ,24388
1998 ,PA ,1938597510 ,48179035021
1998 ,PB ,68967530 ,90139824
1998 ,PR ,4131747953 ,9782225263
1998 ,PE ,327525085 ,660381819
1998 ,PI ,62513093 ,51656008
1998 ,RJ ,3185022540 ,23681933444
1998 ,RN ,81067829 ,336090532
1998 ,RS ,5068259823 ,5432663713
