Ano,Descricao,Total,Quantidade
abr/13,Cafe,434511238,147667746
mai/13,Suco_de_laranja,62248551,34484970
mai/13,Soja,4152649753,7951538971
mai/13,Cafe,398748755,137992262
jun/13,Suco_de_laranja,89501427,47248549
jun/13,Soja,3437194975,6497603130
jun/13,Cafe,340700035,125212120
jul/13,Suco_de_laranja,63910042,34507690
jul/13,Soja,3059711867,5658283460
jul/13,Cafe,295560904,115487378
ago/13,Suco_de_laranja,85368233,48294146
ago/13,Soja,2894181791,5375800184
ago/13,Cafe,358646931,144013316
set/13,Suco_de_laranja,67135783,35651368
set/13,Soja,1851415204,3469039242
set/13,Cafe,358129830,147713149
out/13,Suco_de_laranja,84569967,46292386
out/13,Soja,819712043,1503687439
out/13,Cafe,425879606,174865520
nov/13,Suco_de_laranja,100754996,54966669
nov/13,Soja,349309289,647862778
nov/13,Cafe,378089020,162594327
dez/13,Suco_de_laranja,79703019,44375847
dez/13,Soja,23416589,41444366
dez/13,Cafe,348241811,151604449
jan/14,Suco_de_laranja,103351392,58312113
jan/14,Soja,17809847,30606315
jan/14,Cafe,339829200,152790655
fev/14,Suco_de_laranja,93924193,53973604
fev/14,Soja,1385831718,2789649517
fev/14,Cafe,363084152,156289072
mar/14,Suco_de_laranja,56137711,30346811
mar/14,Soja,3147580092,6229304627
mar/14,Cafe,410142032,153479140
abr/14,Suco_de_laranja,79406168,45171693
abr/14,Soja,4134746497,8250900628
abr/14,Cafe,501313775,171843532
mai/14,Suco_de_laranja,53588535,29990492
mai/14,Soja,3866208695,7609782500
mai/14,Cafe,504287913,161645176
jun/14,Suco_de_laranja,79424559,44167673
jun/14,Soja,3571995210,6893161834
jun/14,Cafe,500412018,157527013
jul/14,Suco_de_laranja,37037793,20916921
jul/14,Soja,3151183394,6043522618
jul/14,Cafe,522637923,166300406
ago/14,Suco_de_laranja,57606200,32868706
ago/14,Soja,2135354923,4119263327
ago/14,Cafe,511635286,161522444
set/14,Suco_de_laranja,110519364,61516071
set/14,Soja,1347500294,2669832551
set/14,Cafe,556245970,165961995
out/14,Suco_de_laranja,120380798,67819285
out/14,Soja,363993310,740838518
out/14,Cafe,645263024,185862057
nov/14,Suco_de_laranja,32459148,18273203
nov/14,Soja,81601150,176556463
nov/14,Cafe,573776041,171949000
dez/14,Suco_de_laranja,116480192,67342322
dez/14,Soja,73572924,138580630
dez/14,Cafe,623305167,182693449
jan/15,Suco_de_laranja,91832454,51533374
jan/15,Soja,35102725,85335618
jan/15,Cafe,546590594,163531275
fev/15,Suco_de_laranja,66660700,37907261
fev/15,Soja,346160419,868658891
fev/15,Cafe,494410196,150950897
mar/15,Suco_de_laranja,150276967,90078935
mar/15,Soja,2211790279,5592087419
mar/15,Cafe,520853992,171821385
abr/15,Suco_de_laranja,53425714,32022998
abr/15,Soja,2534258174,6550976888
abr/15,Cafe,469455357,168994170
mai/15,Suco_de_laranja,88885958,53606644
mai/15,Soja,3612716728,9341009332
mai/15,Cafe,435340038,157947523
jun/15,Suco_de_laranja,106228261,65070200
jun/15,Soja,3762210842,9810092292
jun/15,Cafe,393588551,143183269
jul/15,Suco_de_laranja,79697534,51961766
jul/15,Soja,3224052598,8440388069
jul/15,Cafe,406894236,150133217
ago/15,Suco_de_laranja,28563850,18338319
ago/15,Soja,2004886432,5161857082
ago/15,Cafe,424885916,160292406
