VALORES CORRENTES;;;;;;;;;;;;;;;;;;;;;;;
(1.000.000 R$);;;;;;;;;;;;;;;;;;;;;;;
Período;AGROPECUÁRIA;INDÚSTRIA;;;;;SERVIÇOS;;;;;;;;VA;Imposto;PIB;Consumo das Famílias;Consumo do Governo;Formação Bruta de Capital Fixo;Variação de Estoques;Exportação;Importação
;Total;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social;Total;;;;;;;;;
2005.I;27.589;11.468;73.206;15.553;19.376;119.602;43.768;14.653;19.165;27.032;41.763;64.418;64.449;275.247;422.438;77.272;499.710;308.544;89.562;85.394;773;77.093;61.656
2005.II;27.174;14.012;82.986;15.840;20.891;133.729;49.114;15.870;20.385;30.033;42.497;66.939;69.929;294.768;455.670;79.887;535.557;321.752;95.935;92.729;7.349;82.694;64.902
2005.III;26.472;15.739;82.048;15.403;22.006;135.196;50.938;16.564;21.273;36.351;43.262;68.986;71.455;308.829;470.496;82.363;552.859;332.896;99.485;96.634;1.882;88.087;66.125
2005.IV;19.723;16.805;81.667;15.390;22.298;136.160;54.427;17.190;23.209;38.103;44.296;71.809;89.297;338.331;494.213;88.244;582.458;350.104;125.041;95.462;-6.777;83.006;64.378
2005;100.958;58.023;319.907;62.186;84.571;524.686;198.246;64.276;84.033;131.520;171.818;272.152;295.130;1.217.175;1.842.818;327.766;2.170.585;1.313.296;410.023;370.219;3.228;330.880;257.062
2006.I;28.065;17.529;73.623;16.216;20.721;128.090;51.575;17.058;19.509;33.447;44.170;74.289;73.084;313.132;469.287;84.984;554.270;345.002;100.992;96.723;-1.707;76.051;62.790
2006.II;26.201;16.719;84.941;16.348;21.262;139.270;54.870;17.325;21.283;35.791;44.953;78.171;78.270;330.663;496.134;85.843;581.977;355.817;105.729;100.733;6.668;79.742;66.712
2006.III;28.662;20.059;89.553;16.679;23.380;149.671;58.950;17.975;22.996;37.177;46.213;83.917;82.328;349.557;527.890;89.958;617.848;368.734;111.875;108.368;6.820;98.608;76.558
2006.IV;22.366;17.706;91.831;16.975;23.739;150.251;63.230;18.271;25.192;41.053;47.641;88.038;99.938;383.363;555.979;99.376;655.355;386.663;140.138;108.850;2.824;91.941;75.060
2006;105.294;72.013;339.948;66.219;89.102;567.281;228.625;70.630;88.981;147.468;182.977;324.415;333.620;1.376.715;2.049.290;360.160;2.409.450;1.456.216;458.733;414.674;14.605;346.342;281.120
2007.I;34.346;15.539;84.400;17.301;23.803;141.044;59.838;18.937;22.183;42.874;48.638;84.981;86.020;363.472;538.861;92.562;631.423;384.999;114.489;109.267;13.577;85.074;75.983
2007.II;32.718;15.624;95.964;17.905;25.939;155.432;65.939;20.378;24.198;44.553;50.965;88.039;91.843;385.915;574.065;96.590;670.655;400.751;123.655;119.167;15.017;89.585;77.520
2007.III;29.821;17.138;104.394;17.163;28.016;166.712;70.579;22.285;25.601;41.054;51.330;90.475;91.667;392.991;589.524;102.322;691.846;410.354;125.131;129.921;16.545;95.807;85.912
2007.IV;23.267;20.286;100.275;17.211;28.112;165.884;74.443;24.291;30.381;41.694;53.265;96.274;107.580;427.928;617.078;109.261;726.339;432.652;152.024;131.177;4.466;92.083;86.063
2007;120.152;68.587;385.033;69.579;105.871;629.071;270.799;85.892;102.362;170.176;204.198;359.769;377.110;1.570.305;2.319.528;400.735;2.720.263;1.628.756;515.299;489.532;49.606;362.548;325.478
2008.I;42.413;18.051;90.223;17.136;25.875;151.286;69.266;24.698;25.927;44.720;53.367;93.652;94.335;405.964;599.663;112.393;712.055;433.753;128.394;132.371;23.504;80.459;86.426
2008.II;43.289;21.447;109.762;17.551;27.854;176.613;78.838;25.858;27.409;41.225;54.894;99.046;104.315;431.586;651.488;118.037;769.525;456.473;139.783;147.733;25.906;98.393;98.761
2008.III;34.035;30.534;126.929;16.668;30.725;204.856;87.104;27.144;27.850;44.020;56.667;101.652;104.415;448.852;687.743;124.860;812.603;480.468;144.805;168.886;17.305;115.435;114.297
2008.IV;22.315;30.256;107.064;17.484;30.348;185.152;86.901;26.812;33.449;40.854;56.372;104.572;131.158;480.117;687.584;128.036;815.620;486.816;172.887;153.856;2.760;126.594;127.292
2008;142.051;100.288;433.979;68.839;114.802;717.907;322.109;104.513;114.634;170.819;221.299;398.922;434.223;1.766.519;2.626.478;483.325;3.109.803;1.857.510;585.868;602.846;69.475;420.881;426.776
2009.I;41.178;17.837;87.133;16.993;30.846;152.809;77.957;25.773;27.653;42.569;58.925;106.821;113.420;453.119;647.106;109.021;756.127;474.264;150.521;134.945;2.750;87.415;93.767
2009.II;40.931;11.596;106.722;18.371;36.320;173.009;87.872;26.530;29.510;45.328;60.415;111.989;114.139;475.784;689.724;113.854;803.577;504.220;150.885;147.362;-3.884;93.900;88.904
2009.III;37.986;14.240;116.573;19.542;42.573;192.928;95.957;27.593;30.772;50.060;62.786;117.079;116.227;500.473;731.387;121.456;852.843;534.397;157.480;172.382;-8.458;92.906;95.863
